Emoji,Name,Embedding
🈲,Japanese prohibited button,"[-3.00547242e-01 -4.75897528e-02 -1.44190714e-01 -7.38147274e-02
  3.25067788e-01  4.91995029e-02  1.46085396e-02 -2.15402901e-01
 -4.41507213e-02  5.94507992e-01  2.32191205e-01  2.96587676e-01
  4.01449561e-01  3.55321795e-01  2.55501598e-01  3.29924449e-02
 -2.92355657e-01 -3.96880470e-02  1.08431078e-01 -1.65759370e-01
  3.52271527e-01 -4.57698703e-01  4.12131220e-01  1.60386398e-01
 -3.68219137e-01  3.56390402e-02  1.80388629e-01 -7.81020150e-02
  3.23160231e-01  7.52352178e-02 -5.91062367e-01 -9.90027711e-02
  2.29804769e-01 -1.54816672e-01  4.08480257e-01 -1.10374890e-01
  3.00761789e-01 -2.68705279e-01 -1.84700564e-01  3.39179561e-02
 -3.30397218e-01 -3.51676904e-02 -2.33615190e-03  3.13186012e-02
  2.38318190e-01  4.40067142e-01  8.05814788e-02 -1.31818309e-01
 -3.66658837e-01  7.42151588e-03  1.41305998e-01 -9.52835083e-02
  3.08719128e-01  1.86030209e-01  5.98031223e-01 -1.05403207e-01
 -8.86814967e-02  2.08186314e-01 -1.97801247e-01  3.37448359e-01
 -3.82690340e-01 -3.70325774e-01 -2.29960620e-01  1.51001541e-02
 -1.78980276e-01  2.15464786e-01 -1.86489031e-01 -5.70730150e-01
 -3.64282168e-02  2.24941298e-01  6.03912361e-02 -1.05283640e-01
  2.24743113e-01  5.80243528e-01  3.44895482e-01 -4.80246335e-01
 -2.85859674e-01  2.67038673e-01 -3.45358878e-01  1.35492995e-01
 -2.14434311e-01 -1.37748495e-02  3.42606544e-01  1.56187877e-01
  1.68961406e-01  3.96934859e-02 -4.01145846e-01  8.68676528e-02
 -4.25379425e-01  3.59701395e-01 -1.00461595e-01 -3.66512179e-01
  7.73472488e-01 -1.57382354e-01  2.06650272e-01 -1.92751348e-01
 -5.27380370e-02  1.16228856e-01 -6.63557947e-01  8.11333656e-01
 -2.39494368e-01 -3.01765323e-01 -1.40043318e-01  1.19152337e-01
  2.73263633e-01  8.75479206e-02 -2.65171938e-03 -4.39829640e-02
 -1.95005402e-01  1.37998030e-01 -1.69942558e-01 -1.67692304e-01
 -1.51845455e-01  8.47544298e-02 -5.47621191e-01 -2.13658199e-01
  2.63368934e-01  4.33042496e-01  1.63396657e-01 -1.58633411e-01
  1.79827020e-01 -5.06050825e-01 -1.08576067e-01 -2.11434588e-01
 -4.70256001e-01 -1.68939546e-01 -2.46405646e-01  1.76975906e-01
 -1.34499028e-01 -1.58432618e-01 -4.01695222e-01 -4.03460354e-01
 -9.52178612e-02  1.91125069e-02 -2.87926376e-01 -2.49734327e-01
 -4.72985268e-01  1.39843360e-01  2.57569879e-01 -2.57012844e-01
 -2.29129836e-01  5.04466593e-01  6.18776262e-01 -9.46276113e-02
  5.11539698e-01 -1.64494410e-01  1.24704801e-01  4.81635809e-01
  5.42333543e-01 -1.48590118e-01  3.00575763e-01  1.53042510e-01
 -2.75913596e-01  5.27739942e-01 -3.21919695e-02 -3.13876837e-01
  1.91621348e-01  1.30850121e-01  5.14790006e-02 -3.92231137e-01
 -5.44732576e-03 -4.85643059e-01 -2.61948645e-01 -1.01356357e-01
  3.14314574e-01 -1.02642179e-01 -1.61797509e-01  2.11143687e-01
 -3.10268793e-02 -2.22408697e-01 -4.25321549e-01 -7.05805495e-02
  1.78408429e-01 -1.34598454e-02 -4.67311032e-02 -1.54510140e-01
  4.24616575e-01 -2.86369860e-01 -4.13283855e-01 -1.80167556e-01
 -1.85626850e-01 -5.89093387e-01  9.48987007e-02 -2.64602572e-01
  2.97831923e-01  2.40162730e-01 -1.07143432e-01  2.36380026e-01
 -2.56547064e-01 -1.22901775e-01 -2.69682527e-01 -2.39153400e-01
  3.69841069e-01  2.99832255e-01  2.71702915e-01 -1.12382829e-01
 -6.27962232e-01 -4.47897434e-01  9.40009132e-02 -1.38814792e-01
  3.54821868e-02  3.84458810e-01 -1.59895699e-02 -3.11631233e-01
  6.75830469e-02 -2.49521062e-01  3.28977466e-01 -3.78689051e-01
  2.37385686e-02  1.43062606e-01  2.36609399e-01  6.31652594e-01
  7.76827410e-02  1.77113339e-01  4.57889289e-01 -1.51084608e-03
 -1.08275123e-01 -1.13818133e-02 -2.63143450e-01  3.70623738e-01
 -6.34491965e-02  1.33648038e-01 -4.36978042e-02 -2.99158245e-01
  2.29735777e-01 -1.06838025e-01 -3.10507029e-01  1.21763842e-02
 -1.79017887e-01  8.32197890e-02 -1.72537014e-01 -4.08208072e-02
 -9.46683511e-02 -2.19089389e-01 -7.91319013e-02 -5.71216084e-02
  1.04318492e-01  4.83666033e-01 -1.19006492e-01  7.27897510e-02
 -3.59796852e-01  5.53193927e-01 -6.43504381e-01 -1.38660207e-01
 -6.24009334e-02 -5.68291247e-01  2.56429106e-04  1.56051844e-01
 -2.35367879e-01  1.88292757e-01  1.78702906e-01  3.37002248e-01
  1.03334419e-01  2.55355209e-01  4.31292385e-01  9.78701338e-02
 -2.16837823e-02 -4.60840575e-02 -1.66857585e-01 -3.07459712e-01
 -1.76476792e-01  1.53558597e-01  1.77045856e-02  8.25006425e-01
  5.76013148e-01  7.04817295e-01  1.67222694e-01  3.62799406e-01
 -6.48287714e-01  2.87980318e-01 -1.76162347e-01  7.72103295e-02
 -1.34930745e-01 -4.46913540e-02 -2.20588341e-01  2.07651649e-02
  3.50394726e-01 -3.37504476e-01 -2.91707665e-01 -4.11017202e-02
 -1.46962285e-01 -2.14469209e-01  5.17060518e-01 -5.56318641e-01
  2.82002389e-01 -3.15246791e-01 -7.71957636e-03 -2.25045443e-01
  5.25810778e-01  2.93015927e-01  3.64157677e-01  3.98738384e-01
  7.42133617e-01 -1.06208824e-01  2.01045096e-01 -1.75073221e-01
 -5.94936945e-02  4.88872789e-02  2.93017238e-01 -2.21731123e-02
 -1.03207797e-01  1.94819391e-01  4.71932620e-01 -1.84560847e-02
  5.02738535e-01  1.74581155e-01 -1.28540128e-01 -2.68361330e-01
  1.80362821e-01 -7.42079318e-02 -1.40407188e-02  4.21532065e-01
 -6.55500665e-02 -1.85862169e-01 -5.49657911e-04  5.36131561e-01
 -1.50283143e-01  6.79381549e-01  3.51599663e-01 -4.70350027e-01
 -9.57974866e-02 -3.57815504e-01  1.18362857e-02  1.49328113e-02
  4.07314658e-01  6.01938784e-01 -3.09469134e-01 -8.06245744e-01
  1.06519274e-01 -4.03797239e-01  1.99949965e-02  6.30306602e-01
 -7.03239202e-01 -3.66826355e-02 -5.76098859e-01 -9.05324519e-02
  3.97999883e-01  1.49001747e-01  3.34400862e-01 -2.33766809e-03
  7.28576630e-03  6.21984005e-02  3.48722823e-02 -2.32336640e-01
 -3.00527692e-01  4.58841234e-01 -2.03477666e-01  5.15984535e-01
  6.54495955e-02 -1.52990043e-01  3.50522175e-02 -1.48523644e-01
 -1.57468140e-01 -1.10627793e-01 -6.51414573e-01  1.20587625e-01
 -2.03427359e-01 -5.41381776e-01 -2.38249466e-01 -3.19843054e-01
 -2.61209384e-02 -3.09115738e-01 -7.69787421e-03  2.74227351e-01
 -3.61045927e-01  6.33173659e-02 -3.42949897e-01  3.20923895e-01
 -4.31737751e-01  1.94322750e-01 -3.22625399e-01 -3.34054261e-01
  2.46545032e-01  3.41794997e-01  3.57859582e-02  2.11077288e-01
  4.13865954e-01 -4.99564379e-01 -9.94407833e-02  8.33954394e-01
 -6.31989772e-03 -1.86771795e-01 -3.27136785e-01  9.79367420e-02]"
🧑🏾‍💻,technologist medium-dark skin tone,"[-0.03789888  0.17195113  0.1472904   0.34548134  0.19984126  0.08560602
  0.24384442  0.10132752 -0.41272688 -0.1874624   0.11032121 -0.5480449
  0.06266586 -0.11777216  0.21014234  0.03848197  0.11723755  0.11033408
  0.21948998 -0.15312023 -0.11095874 -0.11744446  0.1796104  -0.5017775
 -0.2175782  -0.10597144 -0.02550749 -0.30119416 -0.07466888 -0.4230114
  0.12052386  0.10594865  0.10291809 -0.04241959 -0.17696843 -0.24572484
 -0.06345596  0.27425882 -0.07813859  0.16986991 -0.09862909 -0.06271342
 -0.03109639  0.4733204   0.13554552 -0.11171655  0.24436922 -0.23025027
 -0.50648654 -0.16924413  0.00984876 -0.50507206 -0.11380031  0.06292483
 -0.029789    0.18256423  0.00262231 -0.28112206  0.0782534   0.03605286
  0.09597327 -0.20754683 -0.36778232 -0.07149737  0.43212587 -0.22142725
  0.05774835 -0.696532   -0.09828764  0.09725098 -0.04246926 -0.192745
  0.13679387  0.27492723  0.2248429   0.36439383  0.30854994 -0.06400359
  0.23818679 -0.39788026  0.5760024  -0.13443637 -0.04007713  0.24327736
  0.01818063  0.52031344 -0.12095891 -0.19778848 -0.49750417  0.30804405
 -0.22159138  0.11744211 -0.49529734  0.01674404  0.3123724  -0.13468388
 -0.01550642  0.13800456  0.14281772  0.5608363   0.17613366 -0.45084667
 -0.39334077  0.09363239 -0.04366798 -0.42342693 -0.14238973 -0.34766096
 -0.16747184  0.21905906  0.13148065 -0.03672311 -0.6450881  -0.31331542
  0.32751852  0.01548592  0.1213388   0.02802464  0.3619536  -0.04264947
 -0.4078764   0.27630433 -0.18713823  0.06333497  0.34978166 -0.1146201
  0.40124974  0.19794723  0.04552969  0.4135832  -0.14568426 -0.0583659
  0.18883099  0.5495526  -0.22396472 -0.03857286  0.10801373  0.02324654
  0.23221035 -0.09124655 -0.3053083   0.16371255 -0.03867618  0.36464423
  0.2581403   0.0914947  -0.41915017 -0.5411532   0.06261612  0.30705842
 -0.11890229  0.1674706  -0.0009419  -0.05566323  0.08494864  0.00849389
  0.3412722  -0.06969045 -0.22652023  0.29391772  0.39635628  0.0024155
  0.08527257  0.4924162   0.19243225 -0.2771539   0.10258843 -0.32923898
  0.15871704  0.41195512  0.34986448 -0.0062826  -0.07801956 -0.01490967
 -0.34838432  0.2632989  -0.6512376   0.1456236  -0.11524175 -0.28907973
  0.4174106   0.09680613 -0.13249704  0.2645058  -0.12169375 -0.12829031
  0.23540136  0.2739593  -0.18638943 -0.01902567 -0.0186272  -0.02254584
  0.46116978  0.25766608 -0.37993968 -0.13221395  0.06458938 -0.44013828
 -0.32302216  0.0443242   0.0276172  -0.14378788 -0.27118272 -0.0596287
 -0.17645982 -0.00251939 -0.27725253  0.285294    0.03704467  0.34118694
 -0.25161263 -0.5289052  -0.2613064   0.11566402 -0.02744958  0.11266599
  0.19173339 -0.09948049 -0.13202947  0.06258256  0.25879192 -0.00909514
 -0.63370645 -0.33564425  0.06569076 -0.15916443  0.02140889  0.78381425
  0.02499957  0.38724655 -0.12389715  0.5413203  -0.00451333  0.25446194
  0.2419025   0.10384668 -0.05161218 -0.06032538 -0.14205694  0.07284206
 -0.09723208  0.10966746 -0.08289725  0.21207216  0.0705125  -0.06749966
 -0.32367644  0.36748743 -0.17611822  0.40350813 -0.150425   -0.14133325
 -0.3736913   0.31708694 -0.04225389  0.42507178 -0.10303093 -0.02651884
  0.11042531  0.15155162  0.16448319 -0.2955112  -0.21321306  0.21309218
  0.19922568  0.17313927 -0.25777575  0.13070762  0.2563205  -0.10387369
 -0.26875475 -0.07553582 -0.3191013  -0.11013863  0.4198525  -0.20326588
  0.1413097   0.00574471 -0.05955586 -0.0992303  -0.07686754 -0.13209942
  0.17475677  0.72687876  0.28537172 -0.16116938 -0.42494854 -0.4994038
  0.1878023   0.09316801 -0.06694408  0.17184755 -0.1201202  -0.12015329
  0.23938951  0.35505795  0.39247543  0.3816759  -0.01910303 -0.39505607
  0.21615568 -0.20666786 -0.44121665  0.12569115  0.0081445  -0.45180717
  0.33221626  0.21260297  0.43357378  0.30745214 -0.40356535 -0.18124144
 -0.18816061 -0.21977766 -0.11706106 -0.06004219 -0.22005734 -0.09771056
 -0.09439754 -0.44241983  0.10384506  0.00828051 -0.01027923 -0.16037229
 -0.21374312  0.2871443   0.19418149 -0.29134494  0.04405239 -0.32759175
 -0.39335147  0.04763467 -0.24968258  0.5499822   0.18228482  0.21637058
 -0.11694024 -0.04789722 -0.19445214 -0.6581224   0.05247549  0.09971399
  0.16321237 -0.1212837   0.25599128 -0.15949903 -0.15906201  0.26005492
 -0.21584804 -0.22579929 -0.2255749   0.23143072  0.15781596 -0.07782146
  0.24673322  0.10551286  0.00598771 -0.12064557  0.11097709  0.36384884
 -0.52202463 -0.06133763 -0.08519726  0.24208125 -0.02040042  0.14403525
  0.27029413  0.11462073  0.05713453  0.16814654  0.37533838 -0.20843868
 -0.00560752 -0.03766334 -0.34832197  0.00611664  0.31336018  0.015521
 -0.06593721  0.11953671 -0.00554207 -0.38167182 -0.09255995  0.21596798]"
🗨️,left speech bubble,"[ 2.39141226e-01 -2.94015259e-01 -1.72836959e-01 -2.43887320e-01
  1.91555366e-01  2.87820727e-01  1.05207592e-01 -3.82841200e-01
  3.20609510e-02 -2.70248681e-01 -1.32642493e-01  5.25251150e-01
  4.19387788e-01 -1.35255054e-01  3.49329233e-01  5.46223104e-01
  1.68442905e-01  1.49006799e-01 -1.59115016e-01  3.94729584e-01
  6.86747953e-02 -5.09512462e-02  3.12795818e-01 -1.53351454e-02
 -3.09915572e-01  3.36295366e-01  1.57196313e-01 -4.35011953e-01
 -2.96057463e-02 -1.17265068e-01  3.78335148e-01  1.97418794e-01
  5.34493506e-01  8.51994082e-02  3.82815689e-01  2.47142706e-02
  1.12689219e-01  3.31875741e-01 -1.09606884e-01 -1.25030382e-02
 -6.10934757e-02 -1.01388851e-02 -3.99651416e-02  1.53423801e-01
 -9.73707512e-02 -7.51422867e-02 -2.83244606e-02  2.54644156e-01
  8.98776650e-02 -1.35913759e-01  8.53406489e-02 -1.06352888e-01
 -4.42542247e-02 -1.12923980e-01 -2.56011486e-01  2.46684756e-02
  1.61932051e-01  3.17948669e-01 -2.23173842e-01  1.10054910e-01
 -2.63264567e-01 -2.62454867e-01 -3.49021524e-01  4.65323418e-01
 -1.06619656e-01  3.15284044e-01  1.57259494e-01  4.04583886e-02
 -3.08633327e-01  1.26350582e-01  2.67120034e-01  2.35099837e-01
  2.73605138e-01 -2.12782145e-01  1.88473463e-01  1.70410082e-01
  5.93366958e-02 -2.38023400e-02 -5.34288287e-02 -6.97242096e-02
  5.47269881e-01  4.65254970e-02 -1.40152752e-01 -5.02441525e-02
 -3.21373224e-01  1.61798149e-01 -3.65978889e-02  3.14288467e-01
 -3.16994071e-01 -5.77298105e-01 -3.98219109e-01 -3.73982638e-01
  3.80660653e-01  1.79639459e-01  3.85913759e-01  5.94688617e-02
 -1.34073690e-01  1.49542354e-02  4.12611037e-01  4.41036850e-01
  1.61673799e-01 -1.65913537e-01  4.40065889e-03 -4.60935503e-01
 -7.19578788e-02 -4.16409969e-01  2.75949985e-01 -2.01180622e-01
  2.29079485e-01 -1.16202563e-01 -1.57170475e-01 -2.18626857e-01
  3.88815880e-01 -1.31766722e-01  1.30478576e-01 -3.44287068e-01
  1.98383257e-01  2.83322334e-01 -2.69486099e-01  2.05809072e-01
  2.61345115e-02 -1.55441284e-01 -6.44557849e-02 -2.33179852e-02
 -1.97732095e-02 -4.51292545e-01 -3.82212400e-01  3.41992646e-01
  1.15410358e-01  1.75360143e-01  6.22089989e-02  2.88909405e-01
 -4.81862724e-02  4.09003615e-01 -1.71542883e-01 -5.82428992e-01
  1.49378881e-01  1.89218462e-01  6.47648335e-01 -4.95086282e-01
 -7.58745819e-02  1.49228483e-01 -4.11357164e-01  1.62410900e-01
 -4.68039274e-01 -2.14907601e-01 -3.24162185e-01  9.75339487e-02
  1.82996783e-02  4.42027539e-01 -2.39398777e-01  4.52658236e-02
 -3.97372872e-01  2.19991758e-01  7.85626918e-02  1.39787987e-01
  3.50740194e-01  2.30936050e-01 -5.06468356e-01  1.18545555e-01
 -4.98328395e-02  8.02252069e-02 -2.31447220e-01  1.66200295e-01
  4.23384719e-02 -2.64176369e-01  2.90770322e-01 -2.37760887e-01
  2.61205941e-01 -1.33088484e-01  2.09112927e-01  3.22789371e-01
  1.44969627e-01 -8.82234499e-02  3.56276147e-02 -3.05382401e-01
 -8.25510174e-02  1.94369093e-01  5.99182993e-02 -1.35036901e-01
  2.10516512e-01 -2.34940544e-01 -1.03462398e-01  1.40636742e-01
  6.95324019e-02 -1.16890572e-01 -3.53408270e-02 -2.63943672e-01
  1.84572026e-01 -1.73798636e-01  2.49654651e-02 -1.67910397e-01
  1.15892328e-01  1.14901565e-01 -7.15746343e-01 -6.18984811e-02
  1.63435549e-01  4.32070531e-02  2.31919721e-01  1.47183374e-01
 -6.35910928e-01 -2.49428358e-02 -5.48111856e-01 -1.06314898e-01
  1.57975346e-01  3.24197978e-01  2.74155289e-01 -1.97328463e-01
  3.45997773e-02  2.75829528e-02  1.74290732e-01 -4.20112945e-02
 -1.80847526e-01 -7.37835169e-02 -3.16686332e-02 -1.36432663e-01
  7.56991357e-02  1.87031582e-01 -3.25706840e-01 -1.39348403e-01
 -1.12339236e-01  3.08807474e-02  1.23427771e-01 -3.54625672e-01
 -3.85339409e-01  1.12422414e-01 -4.52698112e-01  3.77070099e-01
  1.72658637e-01  7.10877895e-01  2.48208597e-01  5.68130076e-01
  2.60111630e-01 -4.55478728e-02 -2.96468198e-01 -2.84658313e-01
 -3.44225839e-02  3.30855787e-01 -4.01276678e-01 -7.49798045e-02
  5.66092193e-01  2.86917418e-01  1.42786503e-01  1.12056062e-02
  1.54073969e-01 -2.53939390e-01 -2.34890446e-01  3.91160607e-01
 -2.34989703e-01  1.61637798e-01 -1.33680061e-01 -5.24399579e-01
  2.89079159e-01  1.14840813e-01 -2.88812310e-01  3.62279937e-02
 -1.81771830e-01  2.43958786e-01 -1.13275193e-01  2.99502909e-02
 -1.15476377e-01 -1.32431015e-01 -4.30837780e-01  1.05840497e-01
  5.70228463e-03 -7.59696290e-02  2.41664052e-01  2.37574950e-01
 -1.61471233e-01  7.35080689e-02 -4.56165314e-01  1.16781794e-01
 -6.56988993e-02 -2.22694203e-01 -4.98148769e-01  2.53898297e-02
 -1.42524645e-04  7.05104321e-03  1.69167144e-03  3.53192054e-02
 -3.27868551e-01 -5.63958347e-01  5.23912394e-03  2.27612019e-01
 -5.27841039e-02  1.86032355e-01 -3.14359039e-01 -6.50902808e-01
  3.43204260e-01  3.62329215e-01 -1.65482894e-01 -2.26531904e-02
  2.51291662e-01 -7.33271912e-02 -1.69775356e-02  5.26628690e-03
 -3.10405135e-01  1.53433502e-01  4.76194471e-02  2.97424436e-01
 -2.32319877e-01  5.03049232e-02  7.83736482e-02  2.74539173e-01
 -1.54928073e-01  2.85405546e-01 -1.93398118e-01 -4.82662112e-01
 -2.10850686e-02 -2.39280701e-01  2.12626278e-01 -2.32677743e-01
 -3.04643095e-01  2.06193849e-01  3.59099030e-01  6.38343170e-02
  4.54749495e-01  1.88457310e-01  3.45566392e-01 -6.47730529e-01
  2.59969145e-01 -4.05564398e-01  1.12820463e-02 -2.07999293e-02
  4.72975284e-01  7.91864321e-02  1.37321666e-01 -4.35142636e-01
  4.99235362e-01 -2.87445694e-01 -3.00064325e-01 -1.95483044e-01
 -3.42781782e-01 -4.41764086e-01 -1.95314467e-01  2.57487655e-01
 -6.47093952e-01 -1.08005069e-01 -1.64491534e-01 -6.00634180e-02
  1.90405622e-01 -5.71899414e-02 -8.05530027e-02  1.03269182e-01
  5.95380403e-02  4.97064203e-01 -1.71903193e-01 -1.99747726e-01
 -4.47373122e-01 -2.42283002e-01  5.52649386e-02 -1.86442450e-01
 -5.80979049e-01 -3.11636239e-01 -4.20364499e-01  4.63054031e-01
 -7.92250112e-02  5.17342007e-03  1.35900244e-01  4.27141577e-01
  2.96324670e-01  6.49381354e-02 -8.58249962e-02  1.14821754e-01
  1.54737651e-01  2.43216455e-01  2.36485407e-01  5.60306050e-02
 -1.29158705e-01 -2.17252687e-01  2.62451410e-01 -1.78156063e-01
  9.80059728e-02  5.42277433e-02  4.09702152e-01  4.17144187e-02
  4.30718772e-02  2.81484872e-01 -3.18548642e-02  2.29016900e-01
 -1.46559045e-01  2.58617222e-01 -9.36354175e-02  1.62302613e-01]"
🏋🏼‍♀,woman lifting weights medium-light skin tone,"[-0.02949963 -0.0136718   0.1590872   0.68643093  0.0429943   0.03944783
  0.4358524   0.09648574 -0.16426581  0.1278622   0.22843719 -0.68454176
 -0.35442257 -0.2369675   0.1544753   0.31308374  0.5582249   0.39331114
 -0.16739196 -0.02042076 -0.11591459 -0.37560907 -0.07200649 -0.09815741
  0.07947614 -0.2735728  -0.282534   -0.10935076 -0.11218389 -0.31247
 -0.07481805  0.01662896 -0.3083417  -0.22105281 -0.10220149  0.29544473
  0.00457706  0.12082788 -0.26094463 -0.00180496  0.08973575 -0.15786596
 -0.12252945  0.03343114 -0.03764625 -0.06497984  0.09464266 -0.06409139
 -0.50720423 -0.21340497  0.32334456 -0.33892497 -0.2340182   0.06000746
 -0.03632804  0.04769421 -0.06940528 -0.07302774 -0.09181731  0.1371196
  0.08263248  0.44525695 -0.05789537 -0.11103014  0.19549139 -0.37001523
 -0.04360333 -0.2531245   0.18591206 -0.24898298  0.08154152 -0.03554868
 -0.14352052  0.08883238  0.4808223   0.02015365  0.18787108  0.06169553
  0.45927498  0.11140568  0.2389809  -0.31546727 -0.08588866  0.24784864
  0.4349846   0.32958603  0.00190853 -0.08491702 -0.03728681  0.22260605
 -0.24922013  0.25498077 -0.7159725   0.19206978 -0.15483736 -0.27291068
 -0.6342336   0.21023756  0.10239128  0.29927188  0.24400522  0.01302784
  0.03265534  0.53529865 -0.08355132 -0.7272163   0.3327794   0.30800426
 -0.3605456   0.34571254  0.1879402   0.24413575 -0.564905    0.07676769
  0.12119939  0.11936904  0.05694574 -0.22362642  0.00650654  0.10142069
 -0.3400657  -0.05875012 -0.14874032 -0.3851901   0.3018361  -0.08128684
  0.19339423 -0.14435253 -0.05509791  0.05991687  0.20279373  0.11516867
  0.2994822   0.06813085 -0.09586865 -0.29768583  0.12386304  0.02747059
 -0.00135646  0.16106507  0.02722862 -0.05191724  0.05576261 -0.05529978
  0.14265555  0.47157    -0.25486386  0.03166481  0.49013424 -0.0790463
 -0.17617173  0.02271213 -0.1773677  -0.29735175 -0.05505823  0.11660171
  0.10639206 -0.10976178 -0.03430672 -0.3045343   0.01820006 -0.28505394
 -0.12033304 -0.13997999  0.29856506 -0.3104966   0.27940318  0.24999602
 -0.0783124   0.12707219  0.4489456  -0.11465261 -0.36058888  0.3209716
  0.12025633  0.10396036 -0.378799    0.11578128 -0.06397872 -0.26685736
  0.3862773   0.10381607  0.01023025  0.31341496 -0.09693563 -0.00807498
  0.24647619  0.10237741 -0.31476262 -0.01744485 -0.3496751  -0.23786348
  0.1278971   0.0398961  -0.22749539 -0.12350432 -0.26864412 -0.06368628
 -0.29260293  0.26283005  0.31862107  0.14737278  0.48299587  0.15075119
  0.25054535  0.033253   -0.2571999   0.01560762  0.46239698  0.59259546
  0.06482805  0.03112496  0.05166849  0.21303876 -0.29830387 -0.13515383
 -0.01863429  0.03371407 -0.05750464  0.18163563 -0.22650008 -0.43425182
 -0.58326375 -0.04933503  0.39323565  0.19945054  0.15742345  0.06773032
  0.50954455  0.19018315  0.03371697  0.33321807  0.10779902  0.08141822
  0.5850758  -0.48592117 -0.5575765   0.01747339 -0.15611793 -0.05690797
 -0.11073202  0.0756233  -0.12347002  0.1481568  -0.25617686 -0.02139626
  0.07760318  0.10146797 -0.08110553 -0.12472957  0.15519024  0.13661134
 -0.02440215 -0.19221778 -0.14495593  0.22803873  0.15007769 -0.06925245
  0.01945889 -0.2551563  -0.17723961  0.05404064  0.19213939  0.44817182
 -0.00487791 -0.16384189 -0.07229575 -0.3150643   0.11380907 -0.04754688
  0.29047996 -0.2548903  -0.3287327  -0.10206836  0.00730299 -0.5678898
 -0.018342    0.6129281  -0.04822456 -0.31166556 -0.04457591 -0.08649102
  0.01683082  0.14499316 -0.16021751 -0.34241077 -0.4196335  -0.13902944
  0.21727718  0.05159618  0.41329357 -0.4363027  -0.11562846 -0.15496837
  0.27506408  0.4310924   0.68254155  0.3571745   0.01381794 -0.29641125
  0.2514396  -0.2716311   0.12456552  0.06376114  0.01706564 -0.57627994
  0.25894293 -0.19422823  0.33918676  0.33662692 -0.55053097  0.2986268
 -0.07945009  0.04372966 -0.03416488 -0.13660361  0.23329185 -0.03519878
 -0.00170942 -0.29189867 -0.08132384  0.15198116 -0.21406023 -0.14681426
 -0.6251559   0.28571928  0.25618318 -0.03660958 -0.13737164 -0.22679293
 -0.22192359  0.00742262  0.35785592  0.33331043  0.30250394 -0.18297373
  0.18672585  0.20133255 -0.06697773 -0.41845992 -0.07776669  0.03672083
  0.2301311  -0.21496391 -0.12976246 -0.2803441  -0.09028815 -0.00114464
 -0.16756034 -0.18809563 -0.02289974  0.2591219  -0.03125961 -0.0915973
 -0.03346919  0.4516407   0.11700689  0.10350557 -0.31844607  0.71150535
 -0.33153254  0.00318632  0.01043053  0.03626997  0.09636226 -0.12993015
 -0.37936866 -0.10572135  0.20670696  0.2504507   0.5272307  -0.10012729
 -0.1858377  -0.14754027 -0.4458908  -0.11532989  0.10722259 -0.0532929
 -0.12353539  0.12132666  0.2254238  -0.30689174 -0.4543606   0.25892743]"
